640,0
640,1
640,2
640,3
640,4
640,5
641,6
642,7
642,8
642,9
642,10
642,11
642,12
642,13
642,14
642,15
642,16
642,17
642,18
642,19
642,20
642,21
642,22
642,23
642,24
642,25
642,26
642,27
642,28
642,29
642,30
642,31
642,32
642,33
642,34
642,35
642,36
642,37
643,38
644,39
644,40
644,41
644,42
644,43
644,38
644,44
644,45
644,46
644,47
644,48
644,49
644,50
644,49
644,51
644,52
644,53
644,54
644,55
644,56
645,57
645,58
646,59
646,60
646,61
646,62
647,8
647,63
647,64
647,65
647,66
647,67
647,68
647,60
647,69
647,70
647,38
647,71
647,23
647,4
647,25
647,72
647,73
647,5
647,32
647,55
647,74
648,39
648,75
648,76
648,77
648,78
648,79
648,80
648,81
648,82
648,83
648,14
648,84
648,45
648,85
648,48
648,86
648,87
648,88
648,89
648,90
648,91
648,73
648,27
648,28
648,92
648,5
648,93
648,94
648,30
648,95
648,3
648,96
648,54
648,97
649,39
649,98
649,99
649,76
649,38
649,9
649,100
649,101
649,102
649,102
649,103
649,86
649,104
650,94
650,48
651,105
652,106
652,107
652,108
652,109
652,48
652,110
652,51
652,111
652,112
652,113
652,114
652,115
652,116
653,117
654,70
655,107
655,118
655,45
655,23
655,27
655,119
655,82
656,7
656,120
656,121
656,30
656,9
656,45
656,10
656,122
656,25
656,115
656,123
656,19
657,124
657,50
657,125
658,53
658,1
658,60
659,126
659,107
659,127
660,128
661,128
661,129
661,130
662,38
662,131
662,132
663,133
664,48
665,27
666,134
667,135
668,13
668,30
668,14
668,32
668,36
669,136
670,137
671,138
671,66
671,1
671,139
671,8
671,24
671,60
671,140
671,141
671,142
672,143
672,144
672,145
672,71
672,146
673,26
674,78
675,147
676,148
676,1
676,149
676,150
676,76
676,151
676,152
676,153
676,23
676,154
676,114
676,119
676,155
676,156
677,4
678,129
679,157
680,158
681,159
681,30
682,77
683,160
683,100
683,161
684,162
684,163
684,164
685,165
685,166
686,167
687,90
687,109
688,138
689,115
689,168
690,55
690,169
690,170
691,26
692,171
692,115
693,172
694,115
695,89
696,173
697,174
698,22
699,175
699,176
700,177
700,178
701,179
702,180
703,181
704,182
705,183
706,184
706,168
707,88
708,185
709,186
710,187
710,188
711,13
712,189
713,155
714,100
715,190
716,191
717,192
717,193
718,48
719,194
720,195
720,155
721,196
722,133
723,197
200,3
725,26
726,198
726,199
727,195
727,155
728,161
729,86
730,200
731,200
732,201
733,70
734,202
735,190
